"Step","tracer_ema_up_freq_1 - Teacher_teacher_accuracy_combined","tracer_ema_up_freq_1 - Teacher_teacher_accuracy_combined__MIN","tracer_ema_up_freq_1 - Teacher_teacher_accuracy_combined__MAX","tracer_ema_up_freq_500 - Teacher_teacher_accuracy_combined","tracer_ema_up_freq_500 - Teacher_teacher_accuracy_combined__MIN","tracer_ema_up_freq_500 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_2500 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_2500 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_2500 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_1000 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_1000 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_1000 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_500 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_500 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_500 - Teacher_teacher_accuracy_combined__MAX","tracer_beta_1.5 - Teacher_teacher_accuracy_combined","tracer_beta_1.5 - Teacher_teacher_accuracy_combined__MIN","tracer_beta_1.5 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_50 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_50 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_50 - Teacher_teacher_accuracy_combined__MAX","tracer_beta_1.0 - Teacher_teacher_accuracy_combined","tracer_beta_1.0 - Teacher_teacher_accuracy_combined__MIN","tracer_beta_1.0 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_5 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_5 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_5 - Teacher_teacher_accuracy_combined__MAX","tracer_beta_0.2 - Teacher_teacher_accuracy_combined","tracer_beta_0.2 - Teacher_teacher_accuracy_combined__MIN","tracer_beta_0.2 - Teacher_teacher_accuracy_combined__MAX"
"37","0.6201171875","0.6201171875","0.6201171875","0.57421875","0.57421875","0.57421875","0.576171875","0.576171875","0.576171875","0.576171875","0.576171875","0.576171875","0.576171875","0.576171875","0.576171875","0.6669921875","0.6669921875","0.6669921875","0.59765625","0.59765625","0.59765625","0.6572265625","0.6572265625","0.6572265625","0.623046875","0.623046875","0.623046875","0.6025390625","0.6025390625","0.6025390625"
"38","0.6474609375","0.6474609375","0.6474609375","0.54296875","0.54296875","0.54296875","0.54296875","0.54296875","0.54296875","0.54296875","0.54296875","0.54296875","0.54296875","0.54296875","0.54296875","0.6259765625","0.6259765625","0.6259765625","0.576171875","0.576171875","0.576171875","0.6220703125","0.6220703125","0.6220703125","0.59765625","0.59765625","0.59765625","0.58203125","0.58203125","0.58203125"
"39","0.6845703125","0.6845703125","0.6845703125","0.5419921875","0.5419921875","0.5419921875","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.6396484375","0.6396484375","0.6396484375","0.5625","0.5625","0.5625","0.619140625","0.619140625","0.619140625","0.578125","0.578125","0.578125","0.564453125","0.564453125","0.564453125"
"40","0.6484375","0.6484375","0.6484375","0.58203125","0.58203125","0.58203125","0.5791015625","0.5791015625","0.5791015625","0.5791015625","0.5791015625","0.5791015625","0.5791015625","0.5791015625","0.5791015625","0.6845703125","0.6845703125","0.6845703125","0.6083984375","0.6083984375","0.6083984375","0.6650390625","0.6650390625","0.6650390625","0.6328125","0.6328125","0.6328125","0.609375","0.609375","0.609375"
"41","0.6650390625","0.6650390625","0.6650390625","0.5341796875","0.5341796875","0.5341796875","0.533203125","0.533203125","0.533203125","0.533203125","0.533203125","0.533203125","0.533203125","0.533203125","0.533203125","0.6162109375","0.6162109375","0.6162109375","0.5615234375","0.5615234375","0.5615234375","0.599609375","0.599609375","0.599609375","0.5791015625","0.5791015625","0.5791015625","0.5634765625","0.5634765625","0.5634765625"
"42","0.6455078125","0.6455078125","0.6455078125","0.5185546875","0.5185546875","0.5185546875","0.51953125","0.51953125","0.51953125","0.51953125","0.51953125","0.51953125","0.51953125","0.51953125","0.51953125","0.5986328125","0.5986328125","0.5986328125","0.548828125","0.548828125","0.548828125","0.5849609375","0.5849609375","0.5849609375","0.5673828125","0.5673828125","0.5673828125","0.544921875","0.544921875","0.544921875"
"43","0.6708984375","0.6708984375","0.6708984375","0.572265625","0.572265625","0.572265625","0.57421875","0.57421875","0.57421875","0.57421875","0.57421875","0.57421875","0.57421875","0.57421875","0.57421875","0.6708984375","0.6708984375","0.6708984375","0.6015625","0.6015625","0.6015625","0.6572265625","0.6572265625","0.6572265625","0.626953125","0.626953125","0.626953125","0.59765625","0.59765625","0.59765625"
"44","0.6552734375","0.6552734375","0.6552734375","0.5224609375","0.5224609375","0.5224609375","0.51953125","0.51953125","0.51953125","0.51953125","0.51953125","0.51953125","0.51953125","0.51953125","0.51953125","0.6220703125","0.6220703125","0.6220703125","0.541015625","0.541015625","0.541015625","0.6005859375","0.6005859375","0.6005859375","0.568359375","0.568359375","0.568359375","0.5380859375","0.5380859375","0.5380859375"
"45","0.6533203125","0.6533203125","0.6533203125","0.5390625","0.5390625","0.5390625","0.541015625","0.541015625","0.541015625","0.541015625","0.541015625","0.541015625","0.541015625","0.541015625","0.541015625","0.634765625","0.634765625","0.634765625","0.5771484375","0.5771484375","0.5771484375","0.623046875","0.623046875","0.623046875","0.5986328125","0.5986328125","0.5986328125","0.576171875","0.576171875","0.576171875"
"46","0.705078125","0.705078125","0.705078125","0.55078125","0.55078125","0.55078125","0.5458984375","0.5458984375","0.5458984375","0.5458984375","0.5458984375","0.5458984375","0.5458984375","0.5458984375","0.5458984375","0.65625","0.65625","0.65625","0.5966796875","0.5966796875","0.5966796875","0.6455078125","0.6455078125","0.6455078125","0.6171875","0.6171875","0.6171875","0.5966796875","0.5966796875","0.5966796875"
