"Step","carot_ema_up_freq_1 - Teacher_teacher_student_top5_alignment_img","carot_ema_up_freq_1 - Teacher_teacher_student_top5_alignment_img__MIN","carot_ema_up_freq_1 - Teacher_teacher_student_top5_alignment_img__MAX","carot_ema_up_freq_500 - Teacher_teacher_student_top5_alignment_img","carot_ema_up_freq_500 - Teacher_teacher_student_top5_alignment_img__MIN","carot_ema_up_freq_500 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_2500 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_2500 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_2500 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_1000 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_1000 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_1000 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_500 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_500 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_500 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_beta_1.5 - Teacher_teacher_student_top5_alignment_img","pomp_beta_1.5 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_beta_1.5 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_50 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_50 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_50 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_beta_1.0 - Teacher_teacher_student_top5_alignment_img","pomp_beta_1.0 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_beta_1.0 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_5 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_5 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_5 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_beta_0.2 - Teacher_teacher_student_top5_alignment_img","pomp_beta_0.2 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_beta_0.2 - Teacher_teacher_student_top5_alignment_img__MAX"
"35","0.9828125","0.9828125","0.9828125","0.81953125","0.81953125","0.81953125","0.81875","0.81875","0.81875","0.81875","0.81875","0.81875","0.81875","0.81875","0.81875","0.903515625","0.903515625","0.903515625","0.838671875","0.838671875","0.838671875","0.87890625","0.87890625","0.87890625","0.848828125","0.848828125","0.848828125","0.8390625","0.8390625","0.8390625"
"36","0.9875","0.9875","0.9875","0.827734375","0.827734375","0.827734375","0.82734375","0.82734375","0.82734375","0.82734375","0.82734375","0.82734375","0.82734375","0.82734375","0.82734375","0.908984375","0.908984375","0.908984375","0.85","0.85","0.85","0.897265625","0.897265625","0.897265625","0.863671875","0.863671875","0.863671875","0.847265625","0.847265625","0.847265625"
"37","0.983203125","0.983203125","0.983203125","0.8125","0.8125","0.8125","0.8109375","0.8109375","0.8109375","0.8109375","0.8109375","0.8109375","0.8109375","0.8109375","0.8109375","0.9109375","0.9109375","0.9109375","0.82890625","0.82890625","0.82890625","0.89140625","0.89140625","0.89140625","0.85078125","0.85078125","0.85078125","0.832421875","0.832421875","0.832421875"
"38","0.985546875","0.985546875","0.985546875","0.815234375","0.815234375","0.815234375","0.807421875","0.807421875","0.807421875","0.807421875","0.807421875","0.807421875","0.807421875","0.807421875","0.807421875","0.90546875","0.90546875","0.90546875","0.830078125","0.830078125","0.830078125","0.893359375","0.893359375","0.893359375","0.848828125","0.848828125","0.848828125","0.833203125","0.833203125","0.833203125"
"39","0.982421875","0.982421875","0.982421875","0.818359375","0.818359375","0.818359375","0.816015625","0.816015625","0.816015625","0.816015625","0.816015625","0.816015625","0.816015625","0.816015625","0.816015625","0.905078125","0.905078125","0.905078125","0.83515625","0.83515625","0.83515625","0.889453125","0.889453125","0.889453125","0.85234375","0.85234375","0.85234375","0.83984375","0.83984375","0.83984375"
"40","0.98359375","0.98359375","0.98359375","0.8109375","0.8109375","0.8109375","0.812109375","0.812109375","0.812109375","0.812109375","0.812109375","0.812109375","0.812109375","0.812109375","0.812109375","0.889453125","0.889453125","0.889453125","0.825","0.825","0.825","0.871484375","0.871484375","0.871484375","0.8421875","0.8421875","0.8421875","0.832421875","0.832421875","0.832421875"
"41","0.97890625","0.97890625","0.97890625","0.834765625","0.834765625","0.834765625","0.83359375","0.83359375","0.83359375","0.83359375","0.83359375","0.83359375","0.83359375","0.83359375","0.83359375","0.898828125","0.898828125","0.898828125","0.850390625","0.850390625","0.850390625","0.89140625","0.89140625","0.89140625","0.866015625","0.866015625","0.866015625","0.851953125","0.851953125","0.851953125"
"42","0.983203125","0.983203125","0.983203125","0.81484375","0.81484375","0.81484375","0.81015625","0.81015625","0.81015625","0.81015625","0.81015625","0.81015625","0.81015625","0.81015625","0.81015625","0.91328125","0.91328125","0.91328125","0.840625","0.840625","0.840625","0.883984375","0.883984375","0.883984375","0.85390625","0.85390625","0.85390625","0.834375","0.834375","0.834375"
"43","0.991015625","0.991015625","0.991015625","0.807421875","0.807421875","0.807421875","0.80390625","0.80390625","0.80390625","0.80390625","0.80390625","0.80390625","0.80390625","0.80390625","0.80390625","0.905078125","0.905078125","0.905078125","0.82890625","0.82890625","0.82890625","0.88359375","0.88359375","0.88359375","0.848828125","0.848828125","0.848828125","0.825390625","0.825390625","0.825390625"
"44","0.9828125","0.9828125","0.9828125","0.796484375","0.796484375","0.796484375","0.794140625","0.794140625","0.794140625","0.794140625","0.794140625","0.794140625","0.794140625","0.794140625","0.794140625","0.897265625","0.897265625","0.897265625","0.82421875","0.82421875","0.82421875","0.87578125","0.87578125","0.87578125","0.843359375","0.843359375","0.843359375","0.82578125","0.82578125","0.82578125"
