"Step","tracer_ema_up_freq_1 - Teacher_teacher_student_accuracy_diff_combined","tracer_ema_up_freq_1 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_ema_up_freq_1 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_ema_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined","tracer_ema_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_ema_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_2500 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_2500 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_2500 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_1000 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_1000 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_1000 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_beta_1.5 - Teacher_teacher_student_accuracy_diff_combined","tracer_beta_1.5 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_beta_1.5 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_50 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_50 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_50 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_beta_1.0 - Teacher_teacher_student_accuracy_diff_combined","tracer_beta_1.0 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_beta_1.0 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_5 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_5 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_5 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_beta_0.2 - Teacher_teacher_student_accuracy_diff_combined","tracer_beta_0.2 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_beta_0.2 - Teacher_teacher_student_accuracy_diff_combined__MAX"
"32","0.0009765625","0.0009765625","0.0009765625","-0.083984375","-0.083984375","-0.083984375","-0.08984375","-0.08984375","-0.08984375","-0.08984375","-0.08984375","-0.08984375","-0.08984375","-0.08984375","-0.08984375","-0.0185546875","-0.0185546875","-0.0185546875","-0.056640625","-0.056640625","-0.056640625","-0.0126953125","-0.0126953125","-0.0126953125","-0.0380859375","-0.0380859375","-0.0380859375","-0.060546875","-0.060546875","-0.060546875"
"33","-0.001953125","-0.001953125","-0.001953125","-0.1044921875","-0.1044921875","-0.1044921875","-0.10546875","-0.10546875","-0.10546875","-0.10546875","-0.10546875","-0.10546875","-0.10546875","-0.10546875","-0.10546875","-0.0185546875","-0.0185546875","-0.0185546875","-0.0849609375","-0.0849609375","-0.0849609375","-0.04296875","-0.04296875","-0.04296875","-0.0751953125","-0.0751953125","-0.0751953125","-0.0927734375","-0.0927734375","-0.0927734375"
"34","0.0009765625","0.0009765625","0.0009765625","-0.0703125","-0.0703125","-0.0703125","-0.072265625","-0.072265625","-0.072265625","-0.072265625","-0.072265625","-0.072265625","-0.072265625","-0.072265625","-0.072265625","-0.01953125","-0.01953125","-0.01953125","-0.0576171875","-0.0576171875","-0.0576171875","-0.0263671875","-0.0263671875","-0.0263671875","-0.0419921875","-0.0419921875","-0.0419921875","-0.05859375","-0.05859375","-0.05859375"
"35","0.0048828125","0.0048828125","0.0048828125","-0.06640625","-0.06640625","-0.06640625","-0.0654296875","-0.0654296875","-0.0654296875","-0.0654296875","-0.0654296875","-0.0654296875","-0.0654296875","-0.0654296875","-0.0654296875","-0.0283203125","-0.0283203125","-0.0283203125","-0.048828125","-0.048828125","-0.048828125","-0.017578125","-0.017578125","-0.017578125","-0.0380859375","-0.0380859375","-0.0380859375","-0.0478515625","-0.0478515625","-0.0478515625"
"36","-0.0029296875","-0.0029296875","-0.0029296875","-0.0810546875","-0.0810546875","-0.0810546875","-0.0810546875","-0.0810546875","-0.0810546875","-0.0810546875","-0.0810546875","-0.0810546875","-0.0810546875","-0.0810546875","-0.0810546875","-0.0244140625","-0.0244140625","-0.0244140625","-0.05859375","-0.05859375","-0.05859375","-0.0380859375","-0.0380859375","-0.0380859375","-0.0419921875","-0.0419921875","-0.0419921875","-0.0634765625","-0.0634765625","-0.0634765625"
"37","-0.0029296875","-0.0029296875","-0.0029296875","-0.0908203125","-0.0908203125","-0.0908203125","-0.0859375","-0.0859375","-0.0859375","-0.0859375","-0.0859375","-0.0859375","-0.0859375","-0.0859375","-0.0859375","-0.0263671875","-0.0263671875","-0.0263671875","-0.068359375","-0.068359375","-0.068359375","-0.029296875","-0.029296875","-0.029296875","-0.0556640625","-0.0556640625","-0.0556640625","-0.05859375","-0.05859375","-0.05859375"
"38","0.00390625","0.00390625","0.00390625","-0.0654296875","-0.0654296875","-0.0654296875","-0.0703125","-0.0703125","-0.0703125","-0.0703125","-0.0703125","-0.0703125","-0.0703125","-0.0703125","-0.0703125","-0.017578125","-0.017578125","-0.017578125","-0.0517578125","-0.0517578125","-0.0517578125","-0.0185546875","-0.0185546875","-0.0185546875","-0.0380859375","-0.0380859375","-0.0380859375","-0.05078125","-0.05078125","-0.05078125"
"39","0.0009765625","0.0009765625","0.0009765625","-0.0869140625","-0.0869140625","-0.0869140625","-0.095703125","-0.095703125","-0.095703125","-0.095703125","-0.095703125","-0.095703125","-0.095703125","-0.095703125","-0.095703125","-0.029296875","-0.029296875","-0.029296875","-0.072265625","-0.072265625","-0.072265625","-0.046875","-0.046875","-0.046875","-0.06640625","-0.06640625","-0.06640625","-0.072265625","-0.072265625","-0.072265625"
"40","0.0009765625","0.0009765625","0.0009765625","-0.078125","-0.078125","-0.078125","-0.0888671875","-0.0888671875","-0.0888671875","-0.0888671875","-0.0888671875","-0.0888671875","-0.0888671875","-0.0888671875","-0.0888671875","-0.0126953125","-0.0126953125","-0.0126953125","-0.0654296875","-0.0654296875","-0.0654296875","-0.0341796875","-0.0341796875","-0.0341796875","-0.048828125","-0.048828125","-0.048828125","-0.0654296875","-0.0654296875","-0.0654296875"
"41","0.0009765625","0.0009765625","0.0009765625","-0.0673828125","-0.0673828125","-0.0673828125","-0.0732421875","-0.0732421875","-0.0732421875","-0.0732421875","-0.0732421875","-0.0732421875","-0.0732421875","-0.0732421875","-0.0732421875","-0.00390625","-0.00390625","-0.00390625","-0.0517578125","-0.0517578125","-0.0517578125","-0.02734375","-0.02734375","-0.02734375","-0.037109375","-0.037109375","-0.037109375","-0.05078125","-0.05078125","-0.05078125"
"42","-0.0029296875","-0.0029296875","-0.0029296875","-0.0712890625","-0.0712890625","-0.0712890625","-0.0751953125","-0.0751953125","-0.0751953125","-0.0751953125","-0.0751953125","-0.0751953125","-0.0751953125","-0.0751953125","-0.0751953125","-0.029296875","-0.029296875","-0.029296875","-0.0498046875","-0.0498046875","-0.0498046875","-0.03515625","-0.03515625","-0.03515625","-0.0341796875","-0.0341796875","-0.0341796875","-0.0537109375","-0.0537109375","-0.0537109375"
