"Step","tracer_ema_up_freq_1 - Teacher_teacher_student_agreement_combined","tracer_ema_up_freq_1 - Teacher_teacher_student_agreement_combined__MIN","tracer_ema_up_freq_1 - Teacher_teacher_student_agreement_combined__MAX","tracer_ema_up_freq_500 - Teacher_teacher_student_agreement_combined","tracer_ema_up_freq_500 - Teacher_teacher_student_agreement_combined__MIN","tracer_ema_up_freq_500 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_2500 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_2500 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_2500 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_1000 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_1000 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_1000 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_500 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_500 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_500 - Teacher_teacher_student_agreement_combined__MAX","tracer_beta_1.5 - Teacher_teacher_student_agreement_combined","tracer_beta_1.5 - Teacher_teacher_student_agreement_combined__MIN","tracer_beta_1.5 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_50 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_50 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_50 - Teacher_teacher_student_agreement_combined__MAX","tracer_beta_1.0 - Teacher_teacher_student_agreement_combined","tracer_beta_1.0 - Teacher_teacher_student_agreement_combined__MIN","tracer_beta_1.0 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_5 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_5 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_5 - Teacher_teacher_student_agreement_combined__MAX","tracer_beta_0.2 - Teacher_teacher_student_agreement_combined","tracer_beta_0.2 - Teacher_teacher_student_agreement_combined__MIN","tracer_beta_0.2 - Teacher_teacher_student_agreement_combined__MAX"
"33","0.98046875","0.98046875","0.98046875","0.8095703125","0.8095703125","0.8095703125","0.806640625","0.806640625","0.806640625","0.806640625","0.806640625","0.806640625","0.806640625","0.806640625","0.806640625","0.921875","0.921875","0.921875","0.84375","0.84375","0.84375","0.900390625","0.900390625","0.900390625","0.8583984375","0.8583984375","0.8583984375","0.8330078125","0.8330078125","0.8330078125"
"34","0.9794921875","0.9794921875","0.9794921875","0.83984375","0.83984375","0.83984375","0.83203125","0.83203125","0.83203125","0.83203125","0.83203125","0.83203125","0.83203125","0.83203125","0.83203125","0.9140625","0.9140625","0.9140625","0.85546875","0.85546875","0.85546875","0.8916015625","0.8916015625","0.8916015625","0.876953125","0.876953125","0.876953125","0.86328125","0.86328125","0.86328125"
"35","0.9794921875","0.9794921875","0.9794921875","0.83203125","0.83203125","0.83203125","0.8310546875","0.8310546875","0.8310546875","0.8310546875","0.8310546875","0.8310546875","0.8310546875","0.8310546875","0.8310546875","0.9033203125","0.9033203125","0.9033203125","0.8466796875","0.8466796875","0.8466796875","0.904296875","0.904296875","0.904296875","0.865234375","0.865234375","0.865234375","0.8583984375","0.8583984375","0.8583984375"
"36","0.978515625","0.978515625","0.978515625","0.8359375","0.8359375","0.8359375","0.8330078125","0.8330078125","0.8330078125","0.8330078125","0.8330078125","0.8330078125","0.8330078125","0.8330078125","0.8330078125","0.9169921875","0.9169921875","0.9169921875","0.8642578125","0.8642578125","0.8642578125","0.8974609375","0.8974609375","0.8974609375","0.876953125","0.876953125","0.876953125","0.861328125","0.861328125","0.861328125"
"37","0.974609375","0.974609375","0.974609375","0.830078125","0.830078125","0.830078125","0.8291015625","0.8291015625","0.8291015625","0.8291015625","0.8291015625","0.8291015625","0.8291015625","0.8291015625","0.8291015625","0.9228515625","0.9228515625","0.9228515625","0.8505859375","0.8505859375","0.8505859375","0.91015625","0.91015625","0.91015625","0.87890625","0.87890625","0.87890625","0.859375","0.859375","0.859375"
"38","0.9765625","0.9765625","0.9765625","0.8056640625","0.8056640625","0.8056640625","0.8095703125","0.8095703125","0.8095703125","0.8095703125","0.8095703125","0.8095703125","0.8095703125","0.8095703125","0.8095703125","0.9091796875","0.9091796875","0.9091796875","0.83984375","0.83984375","0.83984375","0.892578125","0.892578125","0.892578125","0.8642578125","0.8642578125","0.8642578125","0.837890625","0.837890625","0.837890625"
"39","0.994140625","0.994140625","0.994140625","0.82421875","0.82421875","0.82421875","0.818359375","0.818359375","0.818359375","0.818359375","0.818359375","0.818359375","0.818359375","0.818359375","0.818359375","0.9130859375","0.9130859375","0.9130859375","0.8466796875","0.8466796875","0.8466796875","0.8984375","0.8984375","0.8984375","0.8662109375","0.8662109375","0.8662109375","0.8486328125","0.8486328125","0.8486328125"
"40","0.974609375","0.974609375","0.974609375","0.82421875","0.82421875","0.82421875","0.82421875","0.82421875","0.82421875","0.82421875","0.82421875","0.82421875","0.82421875","0.82421875","0.82421875","0.9267578125","0.9267578125","0.9267578125","0.8466796875","0.8466796875","0.8466796875","0.8974609375","0.8974609375","0.8974609375","0.859375","0.859375","0.859375","0.8447265625","0.8447265625","0.8447265625"
"41","0.9775390625","0.9775390625","0.9775390625","0.806640625","0.806640625","0.806640625","0.7978515625","0.7978515625","0.7978515625","0.7978515625","0.7978515625","0.7978515625","0.7978515625","0.7978515625","0.7978515625","0.9169921875","0.9169921875","0.9169921875","0.8505859375","0.8505859375","0.8505859375","0.8984375","0.8984375","0.8984375","0.875","0.875","0.875","0.8466796875","0.8466796875","0.8466796875"
"42","0.9677734375","0.9677734375","0.9677734375","0.8134765625","0.8134765625","0.8134765625","0.8154296875","0.8154296875","0.8154296875","0.8154296875","0.8154296875","0.8154296875","0.8154296875","0.8154296875","0.8154296875","0.900390625","0.900390625","0.900390625","0.837890625","0.837890625","0.837890625","0.876953125","0.876953125","0.876953125","0.8603515625","0.8603515625","0.8603515625","0.8291015625","0.8291015625","0.8291015625"
